word,definition,pronunciation
Wasm,"An outdated policy, doctrine or theory",wasm
Rufous,Reddish or brownish-red,rufous
Quadrennial,Lasting four years; occurring once every four years,kuatrenial
Oustiti,Lock-opening tool,oustiti
Whiffet,Paltry person; little dog,wifet
Farandine,Silk and wool cloth,farantine
Ripple,Toothed tool for removing seeds from flax or hemp,riple
Amanous,Lacking hands,amanous
Corniculate,Horn-shaped; horned,kornikulate
Mida,Larva of the bean-fly,mita
Regnal,Of a reign,reknal
Tye,Inclined trough for washing ore,tye
Lamboys,Armoured plate skirt around the waist and thighs,lambos
Stritch,Straightened alto saxophone,stritksh
Canophilia,Love or fondness for dogs,kanofilia
Muculent,Like mucus,mukulent
Bagging,Coarse fabric for making bags or sacks,bajink
Orthobiosis,Correct or moral living,orthobiosis
Thirdendeal,Old liquid measure of three pints; one-third of anything,thirtenteal
Pedimanous,Having feet shaped like hands,petimanous
Logomania,Pathological loquacity,lokomania
Hierography,Description of sacred things,hierokraf
Geothermometer,Instrument for measuring subterranean temperatures,jeothermometer
Quomodocunquize,To make money in any way possible,kuomotokunkuise
Pangamy,Random or unrestricted mating,pankam
Holystone,Sandstone material used to scrape ships' decks,holstone
Inescatory,"Of, like or pertaining to baiting; adapted to bait",ineskator
Belleter,Bell-founder,beleter
Rake,The inclination of a mast or another part of a ship,rake
Nates,The buttocks,nates
Isogonal,Line connecting points of equal magnetic declination,isokonal
Campanology,The art of bell ringing,kampanoloj
Ranunculaceous,"Of, like or pertaining to buttercups",ranunkulaseous
Canaliculate,Grooved or channelled lengthwise,kanalikulate
Tendentious,Designed to advance a cause,tentenxious
Turaco,Crested African colourful bird with long tail and red wings,turako
Chypre,Mixture of resins used in making perfume,shpre
Canaille,Riffraff; proletarian; the mob; rabble,kanaile
Hominiform,Shaped like a human,hominiform
Geocentrism,Belief that Earth is the centre of the universe,jeosentrism
Diplomatics,Science of deciphering ancient writings and texts,tiplomatiks
Quatuorvirate,A body of four men,kuatuorfirate
Sisyphean,"Laborious, endless and futile",sisfean
Ichthyomancy,Divination by inspecting fish entrails,ikshthyomans
Enteral,"Of, pertaining to or within the intestine",enteral
Devall,To sink; to decline,tefal
Sudd,Mass of floating weed blocking the Nile River,sut
Rimiform,Having a long furrow,rimiform
Geoponics,Study of agriculture,jeoponiks
Ecclesiology,Study of church affairs,ekkleksioloj
Quelch,To squelch,kuelksh
Phyle,Division of the people of a state into local clans,fle
Ivoride,Imitation ivory,iforite
Fingent,Moulding; shaping,finjent
Ustulation,Burning; roasting,ustulaxion
Wanion,Ill luck; misfortune,wanion
Yon,Yonder; that over there; those over there,yon
Textology,Study of the production of texts,tekstoloj
Misandry,Hatred of men,misantr
Batrachivorous,Frog-eating,batrakshiforous
Grampus,Blunt-nosed dolphin,krampus
Feliform,Having a catlike form or shape,feliform
Mathematicism,Belief that everything is expressible in mathematical terms,mathematisism
Epigraphy,Science of inscriptions,epikraf
Bolthead,Straight-necked distillation vessel or flask,boltheat
Proclivitous,Steep,proklifitous
Acrography,The art of making wood blocks in relief,akrokraf
Vaticiny,A prophecy,fatisin
Nidify,To build a nest,nitif
Hérissé,Bristled,"{""error"":1,""message"":""Page or Data not Found""}"
Vardingale,Framework of hoops for a woman's skirts,fartinkale
Sororal,"Of, like or pertaining to sisters",sororal
Gammon,"To feign an action; perpetrate a hoax on; nonsense, rubbish",kamon
Borborygmus,Rumbling noise in the intestines,borborkmus
Lapillus,Small stone ejected by volcanic eruption,lapilus
Fissilingual,With forked or cloven tongue,fisilinkual
Waldhorn,French valveless hunting horn,walthorn
Inhere,Be inherent,inhere
Monocerous,Having only one horn,monoserous
Bronchos,Temporary loss of voice; laryngitis,bronkshos
Celliferous,Bearing cells,seliferous
Millesimal,Thousandth; consisting of thousandth parts,milesimal
Rumbustious,Boisterous,rumbusxious
Quirt,Short-handled riding whip,kuirt
Qualtagh,First person encountered after leaving home on a special day,kualtaf
Ebeneous,Like or resembling ebony,ebeneous
Vibrissa,Tactile bristle such as cat's whisker; bristly hair,fibrisa
Pichiciego,Small South American armadillo,pikshisieko
Militaster,Soldier without skill or ability,militaster
Stelliferous,Having many stars,steliferous
Gallophobia,Fear of France or the French,kalofobia
Ruptile,Easily breakable,ruptile
Gyrograph,Instrument for counting a wheel's revolutions,jrokraf
Latidentate,Having broad teeth,latitentate
Peripteral,Having a row of columns on every side,peripteral
Warison,Wealth; reward; punishment,warison
Indagate,To search out; to investigate,intakate
Doctiloquent,Speaking learnedly,toktilokuent
Wallfish,Snail,walfiksh
Extempore,Without preparation; offhand,ekstempore
Odium,Hatred; offensiveness; blame,otium
Damnification,Causation of injury or loss,tamnifikaxion
Skiascope,Instrument for measuring eye's refraction from movement of shadows,skiaskope
Biloquist,One capable of speaking with two distinct voices,bilokuist
Kelter,Nonsense,kelter
Obrotund,Round but flattened on top and bottom,obrotunt
Anthropomorphization,Attribution of human qualities to animals,anthropomorfisaxion
Fantassin,Infantry soldier,fantasin
Zitella,Young girl; maiden,sitela
Hystricine,"Of, like or pertaining to porcupines",hstrisine
Vaginate,Sheathed; having a sheath,fajinate
Stoss,Side of a hill facing upstream,stos
Vaivode,Local ruler of multiple communities in southeastern Europe,faifote
Endogenous,Having no external cause,entojenous
Argillaceous,Clayey; of or resembling clay,arjilaseous
Nutrice,Nurse,nutrise
Citreous,Lemon-coloured; lemony,sitreous
Depaysé,Out of one's element or natural environment,"{""error"":1,""message"":""Page or Data not Found""}"
Neurobiology,Study of anatomy of the nervous system,neurobioloj
Etymology,Study of origins of words,etmoloj
Xesturgy,Process of polishing,sesturj
Zineb,White powder used as fungicide,sineb
Verticil,Whorl,fertisil
Hieromachy,Fight or quarrel between priests,hieromaksh
Wack,Old name for decomposed basalt,wak
Ateliosis,Imperfect development; developmental irregularity,ateliosis
Appui,To support militarily,apui
Pralltriller,Rapid musical trill,praltriler
Forinsecal,Foreign; alien; extrinsic,forinsekal
Dageraad,Brightly coloured South African fish,tajerat
Hypobole,Anticipating and refuting objections to an argument,hpobole
Nuchal,"Of, like or pertaining to the nape of the neck",nukshal
Agrostography,Writing about grasses,akrostokraf
Caricous,"Of, like or pertaining to figs",karikous
Hydropic,Dropsical; thirsty,htropik
Orthotomic,Cutting at right angles,orthotomik
Regrede,To retrograde,rekrete
Pixilated,Bemused; bewildered; intoxicated,piksilatet
Chrysoaristocracy,Government by the wealthy; plutocracy,shrsoaristokras
Minimuscular,Tiny,minimuskular
Diplomatology,Study of diplomats,tiplomatoloj
Squirocracy,Government by squires; squirearchy,skuirokras
Sabin,Unit of acoustic absorption of one square foot of a perfect absorber,sabin
Rhapsodomancy,Divination by opening works of poetry at random,rhapsotomans
Manqué,Having had unfulfilled ambition; failing to achieve expectation,"{""error"":1,""message"":""Page or Data not Found""}"
Bruxism,Habitual grinding of the teeth,bruksism
Ventriduct,To turn towards the belly,fentritukt
Wattmeter,Instrument for measuring electrical power,watmeter
Reliabilism,Theory that justified belief is reached by reliable cognitive processes,reliabilism
Selenomancy,Divination by studying the moon,selenomans
Batraquomancy,Divination using frogs,batrakuomans
Conglutinate,To glue or join together,konklutinate
Gaminesque,Playful; impish; boyish,kamineskue
Lanuginose,Downy; covered with fine soft hair,lanujinose
Nomogeny,Origin of life according to natural law,nomojen
évolué,Primitive person educated in modern ways,"{""error"":1,""message"":""Page or Data not Found""}"
Versant,General slope of a mountain,fersant
Redhibition,Return of defective product and cancellation of sale,rethibixion
Tuatara,Spiny reptile of New Zealand with vestigial third eye,tuatara
Clithridiate,Shaped like a keyhole,klithrixiate
Tenue,Bearing; carriage; manner of dress,tenue
Musal,"Of, like or pertaining to poetry or the Muses",musal
Lyricon,Electronic wind instrument like a large obverse flute,lrikon
Yardage,Charge for use of a yard,yartaje
Sorites,String of statements where end of one is subject of next,sorites
Lyrate,Lyre-shaped,lrate
Quinnat,The king salmon,kuinat
Morphinomania,Habitual craving or desire for morphine,morfinomania
Chorology,Science of the geographic description of anything,shoroloj
Overlock,To oversew a hem or fabric edge to prevent fraying,oferlok
Kilderkin,Old unit of capacity equal to 1/2 barrel or 18 gallons,kilterkin
Narrischkeit,Foolishness; nonsense,nariskhkeit
Worcester,Fine wool,worsester
Entomology,Study of insects,entomoloj
Absorbefacient,Causing or promoting absorption,absorbefasient
Sarmentum,"Vine, long twig or runner",sarmentum
Zoomancy,Divination by observing animals,somans
Zarzuela,Traditional Spanish vaudeville show; fish and shellfish stew,sarzuela
Ergasiophobia,Fear of work,erkaksiofobia
Infrangible,Not able to be broken or violated,infranjible
Risus,A laugh; a grin,risus
Vetch,Plant bearing bean-like fruit,fetksh
Frontal,Cloth hanging over front of altar,frontal
Hypallage,Figure in which relations between words are changed,hpalaje
Aerogenesis,Forming or generating gas or air,erojenesi
Nervure,Vein of a leaf,nerfure
Anisothenic,Being of unequal strength,anisothenik
Umber,Brownish red,umber
Peccable,Liable to sin,pekkable
Roseaceous,Of the rose family; roselike,roseaseous
Mewling,Crying feebly,melink
Oncology,Study of tumours,onkoloj
Metaphrast,One who produces a metaphrase,metafrast
Antependium,Covering or cloth over pulpit or altar,antepentium
Gavage,Force-feeding of poultry,kafaje
Trucidation,Slaughter,trusitaxion
Adjuvant,Substance added to make vaccine more effective,atjufant
Dunnage,Wood laid in hold to keep cargo dry and safe,tunaje
Washi,Thin Japanese paper used to make kites and lanterns,wakshi
Rantipole,Wild; disorderly,rantipole
Tintinnabulate,To ring; to tinkle,tintinabulate
Curtal,Short; abbreviated; curtailed,kurtal
Nelly,Large South Pacific petrel,nel
Soroche,Mountain sickness,sorokshe
Xyston,Short pike used by Greek heavy cavalry,sston
Labtebricole,Living in holes,labtebrikole
Rappel,Call to arms by the beating of a drum,rapel
Fardel,Anything cumbersome or irksome,fartel
Huemul,Yellow-brown South American deer,huemul
Apiology,Study of bees,apioloj
Ontology,Science of pure being; the nature of things,ontoloj
Epiclesis,Calling on the Holy Spirit to consecrate the Eucharist,epiklesis
Spasmatomancy,Divination by twitching or convulsions of the body,spasmatomans
Pantaleon,Large dulcimer,pantaleon
Campanile,Freestanding bell tower on church property,kampanile
Urial,Wild central Asian sheep with reddish coat and long curved horns,urial
Zoochemistry,Chemistry of animals,sokshemistr
Therewithal,Besides,therewithal
Zeroable,Able to be omitted from a sentence without any loss of meaning,seroable
Agalloch,Eaglewood,akaloksh
Retorse,Bent backwards,retorse
Prepollence,Predominance,prepolense
Marchpane,Old name for marzipan,markshpane
Xylem,Woody portion of a plant,slem
Mormal,Inflamed sore,mormal
Kamik,Knee-length sealskin boot,kamik
Lipography,Accidental omission of letter or syllable in wrting,lipokraf
Hyperanarchy,Condition of extreme anarchy,hperanarksh
Viverrine,"Of, like or pertaining to civets and mongoose",fiferine
Araba,Wheeled Middle Eastern carriage,araba
Nosism,"Use of royal ""we""; assumption of role of group mouthpiece",nosism
Hedonism,Belief that pleasure is the highest good,hetonism
Zendo,Hall for Zen Buddhist meditation,sento
Quelea,An African weaver-bird,kuelea
Abscission,Cutting off; cutting away,abssiksion
Zebrine,"Of, like or pertaining to zebras",sebrine
Washland,Area periodically flooded by river,wakshlant
Upher,Rough pole made of fir and used in scaffolding,ufer
Heliotaxis,Response of an organism to the sun's rays,heliotaksis
Rochet,Surplice-like vestment of a bishop or abbot,rokshet
Yaffingale,Green woodpecker,yafinkale
Dilacerate,To rend or tear asunder,tilaserate
Gilbert,Unit of magnetomotive force,jilbert
Dragoon,To compel by military bullying; to compel by force,trakon
Theriomorphosis,Transformation into a beast,theriomorfosis
Myriarchy,Government by ten thousand individuals,mriarksh
Undigenous,Produced by the action of water,untijenous
Fulgour,Splendour,fulkour
Prorrhesis,Preface,prorhesis
Anodontia,Toothlessness,anotontia
Nundinal,"Of, like or pertaining to a fair or market",nuntinal
Plastron,Fencer's padded breast-shield; steel breastplate worn under hauberk,plastron
Glozing,Flattery; deceit,klosink
Fricandeau,Thick slice of veal or similar meat,frikanteau
Notandum,Something to be specially noted or observed,notantum
Guipure,Lace having no ground or mesh,kuipure
Largiloquent,Talkative; full of words,larjilokuent
Witchknot,Knot in hair supposedly tied by witches,witkshknot
Nulliparous,Having not borne children,nuliparous
Whereout,Out of which,wereout
Quevee,"In heraldry, having a tail",kuefe
Opiniaster,One who obstinately holds to an opinion,opiniaster
Udal,Form of land tenure in Orkney and Shetland islands,utal
Gaita,Spanish bagpipes,kaita
Reremouse,Bat,reremouse
Zoilism,Carping and unjust criticism,soilism
Contumacious,Stubborn; obstinate; opposing lawful authority,kontumaksious
Torpid,Numb; lethargic; having lost the power to act,torpit
Epiphora,Watering of the eyes,epifora
Loggia,Covered open arcade,lojia
Febricant,Causing fever,febrikant
Fuscous,Brown; tawny; dingy,fuskous
Hysteresis,Lagging of an effect behind its cause,hsteresis
Refel,To refute; to disprove; to confute,refel
Epidemiology,Study of diseases; epidemics,epitemioloj
Endysis,"Growth of new feathers, hair or skin",entsis
Yean,To give birth to a lamb or kid,yean
Frondescence,The formation of leaves,frontessense
Attuition,Operation between sensation and perception,atuixion
Bourree,French baroque dance with quick rhythm,boure
Quaternitarian,One who believes that God consists of four parts,kuaternitarian
Encephaloid,Like or resembling a brain,ensefaloit
Groyne,Wooden breakwater,krone
Vallate,Having a raised rim or rampart; ringed,falate
Toponymics,Study of place-names,toponmiks
Anglomania,Craze or obsession with England and the English,anklomania
Selenocentric,Relating to the moon as a centre; as seen from the centre of the moon,selenosentrik
Wear,To turn a ship's stern to windward to alter its course,wear
Exergasia,Remaining on one point of argument while gradually fleshing it out,ekserkaksia
Attainder,The loss of civil rights for high treason,atainter
Hamulate,Tipped with a small hook,hamulate
Xyster,Surgeon's instrument for scraping bones,sster
Perfectibilism,Doctrine that humans capable of becoming perfect,perfektibilism
Annomination,Pun; play on words,anominaxion
Beatus,Beatified man,beatus
Cavernicolous,Cave-dwelling,kafernikolous
Ligniperdous,Destructive of wood,liknipertous
Mazology,Mammalogy; study of mammals,masoloj
Gabble,To chatter or talk inarticulately,kable
emeute,A popular rising or uproar,emeute
Yarder,Donkey-engine used in logging,yarter
Dispone,To set in order; dispose,tispone
Vagility,Ability to succeed in the struggle for existence,fajilit
Octad,Set of eight things,oktat
Mutagenesis,Origin or induction of mutation,mutajenesis
Retrousse,Turned up; especially of the nose,retrouse
Sutile,Accomplished by stitching or sewing,sutile
Hulchy,Swollen,hulksh
Febricity,Feverishness,febrisit
Faburden,Harmony in thirds and sixths,faburten
Introessive,Indicating motion into,introesife
Lepidine,Composed of scales,lepitine
Carbasus,Lint or gauze,karbasus
Quaternion,Any set of four things; quotient of two vectors expressed quadrinomially,kuaternion
Quinism,Pathological state resulting from excessive use of quinine,kuinism
Quartan,A fever recurring every third day,kuartan
Accessit,Prize for students in second place; honourable mention,aksesit
Multitarian,Having many forms but one central essence,multitarian
Muscid,"Of, like or pertaining to house-flies",mussit
Frondiferous,Bearing or producing fronds,frontiferous
Cosmorama,A view of different parts of the world,kosmorama
Vergee,Measure of land area equal to two-fifths of an acre,ferje
Inkhorn,Portable case for ink,inkhorn
Jiggumbob,A thingamabob; a gadget; a whatsit; a gewgaw,jikumbob
Superincumbent,Resting on top; overlying; overhanging,superinkumbent
Adelaster,Provisional name for a plant whose flowers are unknown,atelaster
Incommutable,That cannot be commuted or exchanged,inkomutable
Terebrate,To bore into; to pierce,terebrate
Lipsanotheca,Container for relics,lipsanotheka
Necessaire,Ornamental small case for personal objects,nesesaire
Rhigosis,Sensation of cold; ability to feel cold,rhikosis
Intersidereal,Between stars,intersitereal
Technocracy,Government by technical experts,tekshnokras
Imprescriptible,Inalienable,impreskriptible
Oleaginous,"Oily, fawning or sycophantic",oleajinous
Tercet,Group of three rhyming lines,terset
Zel,Form of Oriental cymbal,sel
Beldam,An old woman; a hag; an ancestress,beltam
Keffel,A horse; a nag,kefel
Zonure,Small South African lizard,sonure
Kamagraphy,Making copies of original paintings using treated canvas,kamakraf
Upaithric,Roofless; open to the sky,upaithrik
Sesquitertial,Having a ratio of four to three,seskuiterxial
Pseudonymuncle,Lesser or minor writer who uses a pseudonym,pseutonmunkle
Locutory,Room for conversation,lokutor
Twaddle,Rubbish; nonsense,twatle
Obelus,Division sign; mark used to indicate unacceptable passages,obelus
Ichneutic,"Of, like or pertaining to a tracker or tracking",ikshneutik
Ixia,South African beautiful flowering plant,iksia
Heortology,Study of religious feasts,heortoloj
Jectigation,"Wagging, tremulous movement",jektikaxion
Pertussis,Whooping cough,pertusis
Jargonelle,Early pear,jarkonele
Anthropolith,Fossilized human skeleton,anthropolith
Cryptous,"Of, like or pertaining to crypts",krptous
Tapotement,Use of light taps in massage,tapotement
Chasmophile,Lover of nooks and crannies,shasmofile
Irroborate,To strengthen,iroborate
Economacy,Position of controller of ecclesiastical affairs,ekonomas
Jurat,Memorandum at end of affidavit showing to whom it was sworn,jurat
Oryx,Large antelope of Africa and Arabia with long horns,orks
Dodoism,Stupid remark,totoism
Wone,A dwelling-place; custom or habit,wone
Slummock,To move slowly and awkwardly,slumok
Diplocephalus,Two-headed monster,tiplosefalus
Biometrics,Study of biological measurement,biometriks
Representationalism,Doctrine that ideas rather than external objects are basis of knowledge,representaxionalism
Volage,Giddy; flighty; fickle,folaje
Holm,Island in a river,holm
Raticide,Substance or person who kills rats,ratisite
Vacive,Empty,fasife
Pupigerous,Bearing a puparium,pupijerous
Glycogenesis,Production of glycogen,klkojenesis
Lasher,Weir,laksher
Rebarbative,Repellent; repulsive,rebarbatife
Urman,Swampy pine forest,urman
Philalethist,Lover of truth,filalethist
Taliped,One with a club-foot,talipet
Quadrivium,Four branches of mathematics in medieval education,kuatrifium
Jawhole,Cesspool; sewer entrance,jahole
Defilade,To arrange fortifications against frontal attack,tefilate
Locum,Clergyman temporarily replacing regular priest,lokum
Paludal,"Of, like or pertaining to marshes; marshy; malarial",palutal
Annuent,Nodding or moving of the head,anuent
Tribunitial,"Of, like or pertaining to a tribune",tribunixial
Toxicophobia,Fear of poisoning,toksikofobia
Procathedral,Parish church serving as a cathedral,prokathetral
Fuero,Code or body of laws; a constitution,fuero
Mungo,Shoddy cloth made from shredding old or waste woven material,munko
Zeta,Small room or closet in a church,seta
Skelic,"Of, like or pertaining to the skeleton",skelik
Glaireous,Slimy; viscous,klaireous
Kickshaws,"A trinket; a cheap, worthless article",kikkshas
Jark,Seal or insignia on a counterfeit document,jark
Hutia,Large Caribbean rat-like rodent,hutia
Illaqueate,To ensnare,ilakueate
Brindled,Marked with streaks or spots,brintlet
Hirudinean,"Of, like or pertaining to leeches",hirutinean
Dysgenesis,Sterility in hybrid creatures,tsjenesis
Lioncelle,Small lion used as a bearing,lionsele
Feticide,Killing of a fetus,fetisite
Rudenture,Architectural moulding in the shape of a rope,rutenture
Jounce,To bump or jolt,jounse
Telestic,"Of, like or pertaining to the mysteries",telestik
Xerotripsis,Dry friction,serotripsis
Weftage,Texture,weftaje
Ashlar,Squared stone used in building walls,akshlar
Inquisiturient,Eager to act as an inquisitor,inkuisiturient
Carnose,Fleshy; of or like flesh,karnose
Bombe,Bulging outwards,bombe
Unstercorated,Not manured,unsterkoratet
Tetrakishexahedron,Cube with pyramid erected on each face,tetrakiksheksahetron
Velate,Having a veil; veiled,felate
Dacoitage,Robbery by gang or mob,takoitaje
Visibilia,Things that are seen,fisibilia
Discophile,One who loves and studies sound recordings,tiskofile
Brilliantine,Perfumed oil for making hair glossy,briliantine
Serried,Close-set; packed together without gaps,seriet
Stuprate,To ravish; to violate; to rape,stuprate
Varvel,Metal ring attached to hawk's jess that connects to a leash,farfel
Forebitt,Post for fastening cables at a ship's foremast,forebit
Morkin,Animal that has died by accident,morkin
Nieve,Hand or fist,niefe
Bacciferous,Bearing berries,baksiferous
Theopantism,Belief that God is the only reality,theopantism
Ere,Before,ere
Luctation,Struggle,luktaxion
Scribacious,Given to writing,skribaksious
Lysis,Disintegration; destruction,lsis
Gynaecocracy,Government by women; gynarchy,jnaekokras
Acrocephalous,Having a pointed or peaked skull,akrosefalous
Virtualism,Doctrine that Christ is virtually present in the Eucharist,firtualism
Lusory,Playful,lusor
Recriminate,To charge one's accuser,rekriminate
Balmorality,Superficial enthusiasm for Scottish culture,balmoralit
Knop,Loop or tuft in yarn,no
Nearhand,Nearly; almost,nearhant
Amyloid,Containing or pertaining to starch; starchy,amloit
Zander,A variety of European perch,santer
Sericeous,Silky; covered with soft silky hairs,seriseous
Bifid,Divided in two by a deep split,bifit
Isopiptesis,Line connecting points of same arrival date of migratory species,isopiptesis
Auslaut,Final sound of a word or syllable,auslaut
Ootocous,Producing eggs; oviparous,otokous
Baryphonic,Having difficulty speaking,barfonik
Hambo,Swedish folk dance in three-four time,hambo
Gadzookery,The use of archaisms in literature,katsoker
Tinnitus,Ringing sound in the head,tinitus
Alpestrine,"Of, like or pertaining to alpine regions",alpestrine
Babeldom,A confused sound of voices,babeltom
Nyctalopia,Night-blindness,nktalopia
Nicotian,"Of, like or pertaining to tobacco",nikotian
Fatidical,Prophetic; having the power to foretell the future,fatitikal
Rictus,Gaping mouth; orifice,riktus
Mitrailleur,Machine-gunner,mitraileur
Ruelle,Space between bed and wall,ruele
Laryngoscope,Instrument for examining interior of the larynx,larnkoskope
Jardiniere,Container for displaying flowers,jartiniere
Subarmale,Coat worn under armour,subarmale
Detraque,A person who is deranged,tetrakue
Syntectic,Having the quality of melting or dissolving,sntektik
Haqueton,Stuffed jacket worn under mail,hakueton
Erotesis,Rhetorical questioning,erotesis
Morbiferous,Disease-bringing,morbiferous
Quinology,Study of quinine,kuinoloj
Bouleversement,Overturning; reversal; ruin,boulefersement
Genoa,Large jib that overlaps the mainsail,jenoa
Hekistotherm,Plant which can grow in very cold environments,hekistotherm
Imperscriptible,Not recorded; unwritten,imperskriptible
Demerge,To immerse; to plunge,temerje
Ixora,Tropical evergreen shrub with white flowers,iksora
Vomiturition,Violent retching,fomiturixion
Chanter,Part of bagpipes on which the melody is played,shanter
Threnetic,Mournful,threnetik
Ord,Point of a weapon; a beginning,ort
Oblocutor,One who denies or disputes,oblokutor
Whithersoever,To any place whatsoever,withersoefer
Xylology,Study of wood,sloloj
Clarence,Four-wheeled carriage,klarense
Nostrum,Secret or quack medicine,nostrum
Sumpter,Pack horse; beast of burden,sumpter
Quittance,Release from a debt or obligation; a document expressing such a release,kuitanse
Quietus,Discharge from life; extinction; death; silencing,kuietus
Abscind,"To pare, reduce, cut off or away",abssint
Clupeoid,Like or resembling a herring,klupeoit
Haptic,"Of, like or pertaining to the sense of touch",haptik
Jocoserious,Half in jest; half serious,jokoserious
Latrant,Barking,latrant
Imparidigitate,Having an odd number of fingers on each limb,imparitijitate
Canard,False rumour; hoax,kanart
Presbycousis,Hardness of hearing during old age,presbkousis
Quarrenden,Variety of apple,kuarenten
Sophiology,Science of ideas,sofioloj
Pudicity,Modesty,putisit
Barasingha,Deer dwelling in swamps of India,barasinfa
Complicant,Overlapping,komplikant
Logogram,Single sign standing for word or phrase,lokokram
Xanthocyanopsy,Form of colour-blindness in which only blue and yellow can be distinguished,santhosyanops
Wagtail,An obsequious person; a harlot,waktail
Iconomania,Obsession with icons or portraits,ikonomania
Rumfustian,Hot alcoholic drink made from rum and various spices,rumfustian
Quenelle,Poached meat dumpling,kuenele
Humect,To moisten; to cause to become moist,humekt
Runcation,Action of weeding,runkaxion
Libaniferous,Yielding or bearing incense,libaniferous
Lacuna,A blank space or missing part,lakuna
Ruderary,Of or relating to rubbish,ruterar
Irrased,"In heraldry, indented",iraset
Manciple,Steward of a college or monastery; purveyor,mansiple
Prunella,Strong and heavy silk or wool,prunela
Veery,North American thrush,fer
Queyock,Heifer,kueyok
Minuet,Slow and stately Baroque dance in 3/4 time,minuet
Logicism,Theory that mathematics can be derived from a set of logical axioms,lojisism
Dodger,Shield against rain or spray on a ship's bridge,tojjer
Contenement,Property necessary to maintain one's station,kontenement
Excursive,Constituting a digression,ekskursife
Mariolatry,Worship of the virgin mother,mariolatr
Flagellomania,Abnormal enthusiasm for flogging,flajelomania
Consenescence,State of general decay,konsenessense
Whistler,Mythical bird whose whistle is fatal to the listener,wistler
Rhumb,Compass point,rhum
Haplology,Omission of a doubled or similar sound or syllable in a word,haploloj
Zariba,Square fence of thorn-bushes; fortified camp,sariba
Violone,Double-bass violin,fiolone
Iconomatic,Using pictures to represent sounds of words; rebus-writing,ikonomatik
Cobaltiferous,Bearing cobalt,kobaltiferous
Causidical,"Of, like or pertaining to those who plead legal cases",kausitikal
Worsification,The composition of bad poetry,worsifikaxion
Noctiflorous,Flowering at night,noktiflorous
Ergometer,Instrument for measuring work performed,erkometer
Neocatastrophism,Doctrine that natural catastrophic events shaped the evolution of life,neokatastrofism
Wisent,Extinct European bison,wisent
Flammulation,Flamelike marking,flamulaxion
Buskin,Tragedy as a dramatic genre,buskin
Obequitate,To ride about,obekuitate
Iberis,Low-growing flowering shrubby herb,iberis
Sulcalize,To furrow,sulkalise
Macropterous,Having large wings or fins,makropterous
Venation,Arrangement of veins on a leaf or an insect's wing,fenaxion
Tirasse,Pedal-coupler in an organ,tirase
Versability,Aptness to be turned around,fersabilit
Dibatag,Somalian antelope with recurved horns,tibatak
Hemacytometer,Instrument for counting blood cells,hemastometer
Retable,Shelf or ornamental setting for panels behind an altar,retable
Enzymology,Study of enzymes,ensmoloj
Dash,Non-specific very small unit of measurement used in cooking,taksh
Vexillary,Standard-bearer; pertaining to regimental colours or flags,feksilar
Tralatitious,Traditional; transmitted; handed on; metaphorical,tralatixious
Meromorphic,Fractional,meromorfik
Nunciative,Bearing messages,nunksiatife
Needs,Of necessity; necessarily,nets
Hydrokinetics,Study of motion of fluids,htrokinetiks
Nephrectomy,Removal of one or both kidneys,nefrektom
Kinderspiel,A children's cantata or play,kinterspiel
Hyperbulia,Excessive zeal for action or activity,hperbulia
Oppidan,Urban,opitan
Haut,High; haughty,haut
Afforest,To cover with forest; to convert into hunting grounds,aforest
Domal,"Of, like or pertaining to a house or dome",tomal
Curie,Unit of radioactive decay and intensity,kurie
Foliophagous,Eating leaves; eating folios of books,foliofakous
Anhinga,Long-necked fish-eating tropical American bird,anhinka
Librate,To oscillate; to be poised,librate
Burlap,Coarse plain-woven jute or hemp fabric,burlap
Rete,Network or net; stylized star-map of an astrolabe,rete
Fitchew,Polecat,fitkshe
Zibeline,"Of, like or pertaining to the sable",sibeline
Wainscot,To line with boards or panels; fine oak panelling,wainskot
Syzygy,Alignment of three or more celestial bodies,ssj
Necromania,Sexual obsession with dead bodies; necrophilia,nekromania
Formicine,"Of, like or pertaining to ants",formisine
Funicular,"Of, like or pertaining to a string or cable",funikular
Garnetiferous,Bearing garnets,karnetiferous
Ilastical,Propitiatory; expiatory,ilastikal
Gramercy,Expression of gratitude or surprise,kramers
Heresiarch,Leader of a heretical movement,hereksiarksh
Mimetic,"Imitative; of, like or pertaining to mimicry",mimetik
Proplasm,Preliminary model or mould,proplasm
Naumachy,Mock sea-battle,naumaksh
Entryism,Doctrine of joining a group to change its policies,entryism
Photaesthesia,Sense of vision,fotaestheksia
Oligophrenia,Feeble-mindedness,olikofrenia
Dioptre,Unit of measurement of power of lens or eye,xioptre
Yeomanette,Old term for a female yeoman in the American naval reserve,yeomanete
Tetramerous,Having four parts,tetramerous
Zenzic,Square of a number,senzik
Lickerish,Lecherous; lusty; greedy,likeriksh
Paragoge,Addition of a sound to end of word,parakoje
Holderbat,Clamp fixed around sides of pipe,holterbat
Caul,Net or similar covering for the head; afterbirth,kaul
Knout,To flog; to scourge,nou
Obnubilate,To becloud; to obscure,obnubilate
Mugwump,One who is neutral politically,mukwump
Animalism,Belief that humans are mere animals,animalism
Recrement,Waste; dross; secretion that is reabsorbed; excess matter,rekrement
Alt,High musical tone,alt
Tetrapolis,Group of four cities,tetrapolis
Tremolo,Vibrating effect of certain musical instruments or the singing voice,tremolo
